max_depth,min_samples_leaf,max_iter,class_weight,enable_basal_pattern,enable_sudden_death,trial_id,brugada_f2_mean,brugada_f2_std,brugada_accuracy_mean,brugada_accuracy_std
3,40,100,balanced,True,True,1,0.5528756957328386,0.24663464724131898,0.8363636363636364,0.0445361771415123
3,40,200,balanced,True,False,19,0.5485466914038343,0.2436312762512391,0.8303030303030304,0.04535342286998713
4,30,100,,False,False,12,0.5372916544254461,0.032372490529721465,0.7696969696969697,0.00857099128710967
4,30,100,,False,True,3,0.5372916544254461,0.032372490529721465,0.7696969696969697,0.00857099128710967
4,30,100,,False,True,14,0.5372916544254461,0.032372490529721465,0.7696969696969697,0.00857099128710967
3,20,100,balanced,True,False,16,0.5274583739557647,0.24273312032046812,0.8424242424242424,0.04772125984249584
3,40,200,balanced,False,False,5,0.5103397803900127,0.1276385398589416,0.7636363636363637,0.039277216353987045
5,40,100,balanced,False,False,11,0.509133149493319,0.09082435585504944,0.7575757575757577,0.037360084866478654
5,30,100,balanced,False,True,6,0.5052056664959891,0.035740555711506986,0.7454545454545455,0.014845392380504115
4,40,200,,True,False,10,0.5045073973645402,0.21296118023743313,0.8303030303030304,0.05620374845754974
5,20,200,balanced,True,True,7,0.5015432098765432,0.25660940043697367,0.8303030303030304,0.08441447440717646
3,20,50,balanced,True,False,18,0.5005479321517057,0.21685818628277875,0.8303030303030304,0.04285495643554829
3,30,100,balanced,False,True,4,0.4999225464587707,0.08090841512391035,0.7393939393939394,0.00857099128710967
4,20,50,balanced,True,True,17,0.49453429170410307,0.24354084639188536,0.8242424242424242,0.061806297134458024
4,20,200,,False,False,13,0.4863957194899818,0.06533978640092691,0.7515151515151515,0.037360084866478654
5,20,200,balanced,False,True,0,0.4851582817684512,0.10646602047679919,0.7515151515151516,0.045353422869987184
4,30,100,balanced,False,True,9,0.48047120213433775,0.10010997528425952,0.7454545454545455,0.014845392380504115
5,20,200,,True,False,2,0.4584590246354952,0.19575537628175943,0.8363636363636364,0.06470956516382609
3,20,200,,False,True,8,0.4386597830341164,0.09907223166283895,0.7454545454545455,0.039277216353987045
5,30,200,,True,False,15,0.42290356394129974,0.1852554634390002,0.8242424242424242,0.04772125984249579
