learning_rate,weight_decay,dropout,resnet_channels,enable_basal_pattern,enable_sudden_death,trial_id,brugada_f2_mean,brugada_f2_std,brugada_accuracy_mean,brugada_accuracy_std
0.0015,0.0005,0.6,"[48, 96, 192]",False,True,11,0.7356671126802189,0.09357072903112881,0.8484848484848485,0.03736008486647861
0.001,0.0005,0.5,"[48, 96, 192]",False,True,10,0.7166371565348548,0.11813736091261984,0.7818181818181819,0.05352582343228995
0.0008,0.0005,0.6,"[32, 64, 128]",False,True,19,0.7051660345810155,0.1274046055453393,0.8545454545454545,0.05352582343228999
0.001,0.01,0.6,"[32, 64, 128, 256]",False,True,6,0.7022508456934687,0.0863413995166341,0.8242424242424242,0.03736008486647861
0.0015,0.0005,0.4,"[32, 64, 128, 256]",False,True,4,0.6975064380378116,0.09838785565968029,0.8484848484848485,0.00857099128710967
0.001,0.01,0.5,"[32, 64, 128, 256]",False,False,14,0.6646476985460036,0.08492995656773236,0.7818181818181819,0.09734774790429708
0.001,0.01,0.5,"[32, 64, 128, 256]",False,False,3,0.6646476985460036,0.08492995656773236,0.7818181818181819,0.09734774790429708
0.0015,0.0005,0.5,"[32, 64, 128, 256]",False,True,9,0.6558968926553672,0.11244819677917442,0.8424242424242424,0.03090314856722896
0.0015,0.001,0.5,"[32, 64, 128, 256]",False,False,12,0.6483516483516483,0.0782203534947349,0.7878787878787877,0.04535342286998714
0.0012,0.005,0.4,"[48, 96, 192]",False,True,2,0.6421260773890026,0.11576645048820063,0.7515151515151516,0.05213530464874321
0.001,0.01,0.5,"[32, 64, 128]",True,False,13,0.6413529835101223,0.03145670462559282,0.7696969696969697,0.11338355717496792
0.0008,0.001,0.4,"[32, 64, 128]",False,True,16,0.6307506053268765,0.0936360655577216,0.8303030303030302,0.03736008486647861
0.0008,0.01,0.5,"[32, 64, 128]",False,False,17,0.6175760069202693,0.09020812756901907,0.7878787878787877,0.059996939009767644
0.001,0.005,0.6,"[32, 64, 128]",True,True,7,0.6054351565187478,0.012162139339293904,0.8242424242424242,0.008570991287109617
0.0015,0.0005,0.4,"[32, 64, 128]",True,True,18,0.6043900611091894,0.07002190623728606,0.8303030303030302,0.008570991287109617
0.0008,0.0005,0.6,"[32, 64, 128, 256]",True,True,1,0.570807544945476,0.11487255761694118,0.787878787878788,0.030903148567229012
0.0015,0.0005,0.4,"[48, 96, 192]",True,True,5,0.5702813576376795,0.05625195394692808,0.7999999999999999,0.05142594772265797
0.001,0.005,0.6,"[32, 64, 128, 256]",True,False,15,0.5503350187034982,0.015401427299938252,0.6727272727272727,0.20623878214755825
0.0012,0.01,0.4,"[48, 96, 192]",True,False,0,0.4758956957691367,0.15803773565761128,0.8363636363636363,0.0
0.0012,0.005,0.4,"[32, 64, 128]",True,False,8,0.46460998413609206,0.13919690634353565,0.7878787878787877,0.13305756606121302
